Epoch,Train_Loss,Test_Loss,LLC,Order_Parameter,Task,Seed,P
1,5.184002876281738,5.171082973480225,,0.02274206466972828,addition,43,113
2,5.145402431488037,5.134911060333252,,0.022741753607988358,addition,43,113
5,4.91116189956665,4.920945167541504,,0.022739171981811523,addition,43,113
10,4.764472484588623,4.834711074829102,,0.022736001759767532,addition,43,113
20,4.6630401611328125,4.813244819641113,,0.022748121991753578,addition,43,113
50,4.310873985290527,5.21006965637207,,0.02277599275112152,addition,43,113
100,3.244236469268799,7.210451602935791,,0.022559773176908493,addition,43,113
200,1.918398380279541,12.20185661315918,1169.1357421875,0.022249486297369003,addition,43,113
500,0.9424718022346497,16.138591766357422,1697.6246337890625,0.021970991045236588,addition,43,113
1000,0.005758744664490223,24.530078887939453,2403.757080078125,0.023166975006461143,addition,43,113
1100,0.0019806143827736378,25.73529052734375,2171.02490234375,0.02351868711411953,addition,43,113
1200,0.000693935202434659,27.0971736907959,2042.177001953125,0.023875916376709938,addition,43,113
1300,0.00024870247580111027,28.57097053527832,1774.6298828125,0.02420375868678093,addition,43,113
1400,8.953887299867347e-05,30.051313400268555,1527.9051513671875,0.024504445493221283,addition,43,113
1500,3.284638296463527e-05,31.549039840698242,1360.2025146484375,0.024772416800260544,addition,43,113
1600,1.2237681403348688e-05,32.960975646972656,1200.2615966796875,0.02501341886818409,addition,43,113
1700,4.790952971234219e-06,34.25156021118164,1037.9556884765625,0.0252259261906147,addition,43,113
1800,2.0244076495146146e-06,35.41118240356445,923.9330444335938,0.02542768232524395,addition,43,113
1900,9.921443506755168e-07,36.273868560791016,772.3865356445312,0.025625793263316154,addition,43,113
2000,6.160908583296987e-07,36.732242584228516,676.7501220703125,0.025819743052124977,addition,43,113
2100,5.023285325478355e-07,36.56019973754883,571.1640014648438,0.026026315987110138,addition,43,113
2200,4.7095440436351055e-07,36.199256896972656,489.1451110839844,0.026230216026306152,addition,43,113
2300,4.5601439069287153e-07,35.734352111816406,425.3041687011719,0.026470087468624115,addition,43,113
2400,4.657254351059237e-07,35.330665588378906,394.04718017578125,0.026712393388152122,addition,43,113
2500,4.562945150610176e-07,34.97101974487305,343.6997985839844,0.02695329301059246,addition,43,113
2600,4.522171082044224e-07,34.65817642211914,320.1835021972656,0.0271951574832201,addition,43,113
2700,4.5112773250366445e-07,34.38149642944336,322.8392028808594,0.027505647391080856,addition,43,113
2800,4.5800638304172026e-07,34.10441589355469,293.2561950683594,0.02781878039240837,addition,43,113
2900,4.817859462491469e-07,33.87355041503906,299.3692932128906,0.02812899649143219,addition,43,113
3000,4.546137404304318e-07,33.650726318359375,279.0246276855469,0.028431901708245277,addition,43,113
3100,4.60060647355931e-07,33.4486083984375,267.6192932128906,0.02871648781001568,addition,43,113
